"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"0002001","11602","1026","1","786","0.127226463","1","100"
"0002001","11602","1038","3","786","0.381679389","3","100"
"0002001","11602","2025","31","786","3.944020356","31","100"
"0002001","11602","2026","10","786","1.272264631","10","100"
"0002001","11602","2028","34","786","4.325699745","34","100"
"0002001","11602","2032","2","786","0.254452926","2","100"
"0002001","11602","2040","7","786","0.890585241","7","100"
"0002001","11602","2042","13","786","1.65394402","13","100"
"0002001","11602","2044","2","786","0.254452926","2","100"
"0002001","11602","2045","4","786","0.508905852","4","100"
"0002001","11602","2047","18","786","2.290076335","18","100"
"0002001","11602","2048","23","786","2.926208651","23","100"
"0002001","11602","2049","7","786","0.890585241","7","100"
"0002001","11602","2050","18","786","2.290076335","18","100"
"0002001","11602","2051","20","786","2.544529262","20","100"
"0002001","11602","2052","13","786","1.65394402","13","100"
"0002001","11602","2053","9","786","1.145038167","9","100"
"0002001","11602","2054","22","786","2.798982188","22","100"
"0002001","11602","2055","9","786","1.145038167","9","100"
"0002001","11602","2056","7","786","0.890585241","7","100"
"0002001","11602","2057","24","786","3.053435114","24","100"
"0002001","11602","2059","4","786","0.508905852","4","100"
"0002001","86501","1002","39","786","4.961832061","39","100"
"0002001","86501","1003","17","786","2.162849872","17","100"
"0002001","86501","1004","8","786","1.017811704","8","100"
"0002001","86501","3003","2","786","0.254452926","2","100"
"0002001","86501","3006","13","786","1.65394402","13","100"
"0002001","86502","1000","2","786","0.254452926","2","100"
"0002001","86502","1001","36","786","4.580152671","36","100"
"0002001","86502","1003","16","786","2.035623409","16","100"
"0002001","86502","1007","30","786","3.816793893","30","100"
"0002001","86502","1012","2","786","0.254452926","2","100"
"0002001","86502","1014","257","786","32.697201017","257","100"
"0002001","86502","1017","14","786","1.781170483","14","100"
"0002001","86502","1020","69","786","8.778625954","69","100"
"0002002","11720","1002","34","210","16.19047619","34","100"
"0002002","11720","1003","25","210","11.904761904","25","100"
"0002002","11720","1004","15","210","7.142857142","15","100"
"0002002","11720","1005","1","210","0.476190476","1","100"
"0002002","11720","1006","3","210","1.428571428","3","100"
"0002002","11720","1013","26","210","12.38095238","26","100"
"0002002","11720","3005","52","210","24.761904761","52","100"
"0002002","11720","3006","54","210","25.714285714","54","100"
"0002003","86701","4005","206","909","22.662266226","279","73.835125448"
"0002003","86701","4011","377","909","41.474147414","377","100"
"0002003","86701","4016","105","909","11.551155115","205","51.219512195"
"0002003","86701","4018","107","909","11.771177117","107","100"
"0002003","86701","4020","5","909","0.550055005","5","100"
"0002003","86701","4021","43","909","4.730473047","43","100"
"0002003","86701","4022","38","909","4.180418041","38","100"
"0002003","86701","4023","28","909","3.08030803","28","100"
"0002007","86901","1000","80","1086","7.366482504","421","19.002375296"
"0002007","86901","1002","37","1086","3.406998158","37","100"
"0002007","86901","1003","20","1086","1.841620626","20","100"
"0002007","86901","1004","15","1086","1.381215469","15","100"
"0002007","86901","4000","41","1086","3.775322283","41","100"
"0002007","86901","4002","24","1086","2.209944751","24","100"
"0002007","86901","4003","17","1086","1.565377532","17","100"
"0002007","86901","4004","35","1086","3.222836095","35","100"
"0002007","86901","4005","115","1086","10.5893186","115","100"
"0002007","86901","4006","5","1086","0.460405156","5","100"
"0002007","86901","4007","1","1086","0.092081031","1","100"
"0002007","86901","4008","19","1086","1.749539594","19","100"
"0002007","86902","1004","64","1086","5.893186003","64","100"
"0002007","86902","1005","3","1086","0.276243093","3","100"
