"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"NULL","0","0","20","NULL","NULL","20","100"
"10316","110106","2000","11","1720","0.639534883","11","100"
"10316","110106","2001","15","1720","0.872093023","15","100"
"10316","110106","2002","62","1720","3.604651162","62","100"
"10316","110106","2003","10","1720","0.581395348","21","47.619047619"
"10316","110106","2009","6","1720","0.348837209","45","13.333333333"
"10316","110106","2010","5","1720","0.290697674","93","5.376344086"
"10316","110106","2012","50","1720","2.906976744","50","100"
"10316","110106","2013","24","1720","1.395348837","24","100"
"10316","110106","2014","27","1720","1.569767441","27","100"
"10316","110106","2016","19","1720","1.104651162","19","100"
"10316","110106","2017","43","1720","2.5","43","100"
"10316","110106","2018","12","1720","0.697674418","12","100"
"10316","110106","2019","8","1720","0.465116279","8","100"
"10316","110106","2020","10","1720","0.581395348","10","100"
"10316","110106","2021","20","1720","1.162790697","20","100"
"10316","110106","2022","7","1720","0.406976744","7","100"
"10316","110117","2000","240","1720","13.953488372","240","100"
"10316","110117","2001","62","1720","3.604651162","62","100"
"10316","110117","2002","38","1720","2.209302325","38","100"
"10316","110117","2003","66","1720","3.837209302","66","100"
"10316","110117","2004","44","1720","2.558139534","44","100"
"10316","110117","2005","110","1720","6.395348837","110","100"
"10316","110117","2006","13","1720","0.755813953","13","100"
"10316","110117","2007","41","1720","2.38372093","41","100"
"10316","110117","2008","110","1720","6.395348837","110","100"
"10316","110117","4000","154","1720","8.953488372","154","100"
"10316","110117","4001","11","1720","0.639534883","11","100"
"10316","110117","4002","214","1720","12.441860465","214","100"
"10316","110117","4003","86","1720","5","86","100"
"10316","110117","4004","90","1720","5.232558139","90","100"
"10316","110117","4007","89","1720","5.174418604","89","100"
"10316","110117","4008","14","1720","0.813953488","14","100"
"10316","110117","4009","9","1720","0.523255813","9","100"
"10317","110102","3000","159","2067","7.692307692","159","100"
"10317","110102","3004","216","2067","10.449927431","216","100"
"10317","110102","3010","89","2067","4.305757135","89","100"
"10317","110104","3004","3","2067","0.14513788","3","100"
"10317","110104","3005","2","2067","0.096758587","2","100"
"10317","110110","1018","15","2067","0.725689404","15","100"
"10317","110110","1019","39","2067","1.886792452","39","100"
