,srprec_orig,hh_med_inc_wgt
0,2001,54480.479999999996
1,2002,44136.0
2,2008,66970.0
3,2009,54967.05
4,2011,119595.0
5,2012,59531.0
6,2015,72250.0
7,2016,119931.0
8,2017,132601.0
9,2023,64554.0
10,2024,125887.0
11,2030,61984.0
12,2033,60149.0
13,2034,77009.0
14,2036,119595.0
15,2038,165800.0
16,2040,119595.0
18,2047,131334.48
19,2048,128194.0
20,2049,96971.0
21,2051,121887.73000000001
22,2054,82240.0
23,2055,101494.0
24,2060,132286.87
25,2061,62543.0
26,2072,127237.48
27,2079,159551.95
28,2081,107816.6
29,2082,125887.0
30,2088,58125.0
32,2098,61895.0
33,2099,50714.0
35,2108,125887.0
36,2117,71062.06
37,2122,62543.0
38,2128,53070.479999999996
39,2143,83870.67
40,2148,66250.0
41,2152,63821.0
42,2153,62792.0
43,2160,75115.29
44,2166,83185.72
45,2171,91094.33
46,2181,54442.0
47,2182,62413.0
48,2187,52798.0
49,2193,53981.84
50,2194,63493.0
51,2201,54638.600000000006
52,2205,78447.0
53,2212,78447.0
54,2216,47848.1
55,2223,54261.0
56,2224,54329.15
57,2225,76951.01000000001
58,2228,47776.259999999995
59,2229,78500.0
60,2230,88398.67
61,2234,119529.81999999999
62,2235,114219.0
63,2237,121920.51999999999
64,2242,96389.0
65,2244,119931.0
66,2306,66250.0
67,2307,66250.0
68,2315,64661.0
69,2319,52532.03
70,2322,72250.0
71,2331,64554.0
72,2337,64816.72
73,2338,42020.0
74,2341,59216.0
75,2345,96971.0
76,2347,61984.0
77,2352,63146.3
78,2355,72250.0
79,2356,62569.0
80,2357,43400.0
81,2361,61895.0
82,2368,53667.44
83,2370,82240.0
84,2371,54875.0
85,2377,59534.0
87,2387,86591.0
88,2389,76549.94
89,2391,75574.25
90,2392,59694.66
91,2398,85897.24
92,2401,77009.0
93,2402,84470.0
94,2405,44521.06
95,2409,49394.0
97,2432,77583.05
98,2437,63821.0
99,2440,80505.0
100,2441,64904.0
101,2443,61972.64
102,2448,61940.0
103,2450,46876.82
104,2453,114219.0
105,2457,59419.77
106,2459,66250.0
107,2701,62792.0
108,2702,66226.85
109,2703,123241.84
110,2704,112077.99
111,2705,49636.42
112,2707,72811.69
113,2708,86040.38
114,2709,61747.119999999995
115,2710,77208.20999999999
116,5302,106955.84999999999
117,5303,82880.20999999999
118,5307,82265.78
119,5308,81262.12
120,5311,101199.3
121,5319,83079.05
122,5333,100404.4
123,5334,131118.0
124,5339,131118.0
125,5340,78617.1
126,5379,131118.0
127,5381,92595.09
128,5384,88169.0
129,5388,83264.70999999999
130,5389,94246.52
131,5392,131118.0
132,5396,81495.0
133,5397,103611.0
134,5701,105764.79999999999
135,5702,90519.0
136,6204,131118.0
137,6205,131118.0
138,7092,49859.0
139,7093,49167.0
140,7094,94559.0
141,7095,49167.0
142,7098,77276.0
143,7101,49202.06
144,7104,49531.0
145,7106,76201.96
146,7108,61250.490000000005
147,7109,86953.0
148,7110,61675.729999999996
149,7112,53832.259999999995
150,7121,94559.0
151,7122,88914.82
152,7123,49531.0
153,7124,72250.0
