"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g18","V","10316","1238","423","517","24","1","0","6","0","2","0","265","582","656","55","43","30","6","17","19","14","0","18","26","24","1","12","17","11","0","12","15","20","2","9","0","4","0","0","4","2","0","8","4","9","0","0","9","19","23","29","26","52","0","17","35","36","43","50","84","0","18","15","26","36","73","89","0","5","16","28","38","70","103","0","14","20","27","36","25","26","0","10","15","15","22","24","31","0","0","4","6","4","4","1","0","2","2","1","4","4","1","105","78","11","26","13","25","13","31","121","96","69","12","28","24","26","20","33","209","96","53","14","17","7","13","7","16","42","16","8","2","2","3","1","0","0","1"
"g18","V","10317","1184","490","356","33","2","6","7","0","4","0","286","588","596","165","60","71","10","7","11","7","2","20","16","13","3","9","3","8","0","11","6","15","1","17","1","5","0","7","3","6","1","14","17","10","2","0","30","40","35","42","45","37","0","29","32","45","31","50","74","0","5","17","21","37","58","47","0","7","11","18","38","48","49","0","12","28","29","24","23","27","0","11","27","41","23","23","18","0","2","9","6","6","7","1","0","2","4","4","3","5","3","129","125","24","30","21","37","4","19","101","78","58","23","27","30","27","12","26","75","108","67","17","20","22","15","2","10","25","19","13","3","2","6","2","2","4","1"
"g18","V","10319","945","316","335","22","2","3","7","0","2","2","256","443","502","68","37","49","5","12","8","5","0","19","6","21","3","8","7","5","1","11","10","21","2","5","0","5","0","8","4","12","2","5","10","10","3","0","8","14","12","16","30","51","0","16","13","18","25","31","82","0","5","8","13","17","39","74","0","6","11","10","18","42","92","0","15","24","14","32","15","35","0","9","13","23","17","20","39","0","2","5","3","3","4","4","0","1","0","4","2","4","6","84","62","8","20","17","26","9","16","74","72","51","12","22","10","20","10","30","108","98","51","9","19","17","18","7","12","25","12","7","3","2","2","3","1","2","6"
"g18","V","10320","1644","534","637","34","0","3","7","0","5","1","423","851","793","79","57","47","7","19","32","6","5","31","29","23","0","17","30","18","3","38","36","76","2","19","6","33","2","17","15","9","0","9","8","10","1","0","32","36","29","39","58","66","0","30","37","40","28","67","72","0","17","26","31","62","110","94","0","17","19","19","53","105","84","0","27","28","40","42","54","36","0","30","22","25","45","43","31","0","4","5","4","2","5","4","0","3","1","5","6","8","3","103","122","19","28","17","47","17","30","151","104","81","16","21","18","41","18","51","287","145","90","20","27","13","30","13","15","70","11","11","5","1","5","4","1","3","9"
"g18","V","10325","1012","334","450","25","3","0","8","0","2","1","189","488","524","67","38","18","1","17","12","2","1","5","8","9","0","18","19","6","3","9","15","12","0","3","0","4","0","9","10","21","4","5","12","3","2","0","12","9","16","21","30","48","0","21","21","21","29","40","66","0","9","11","19","46","56","84","0","7","11","13","45","55","94","0","17","12","11","22","16","29","0","7","12","11","22","13","17","0","2","2","2","6","8","0","0","3","2","2","6","3","3","69","62","6","13","3","26","8","23","124","77","58","10","12","12","29","14","37","201","64","36","11","13","5","10","6","12","32","14","7","5","1","2","1","0","1","8"
"g18","V","10333","651","208","270","13","1","1","5","0","0","0","153","305","346","29","25","17","0","10","8","5","0","7","7","6","0","2","2","3","1","6","4","5","0","3","2","4","0","2","0","0","0","2","2","5","1","0","5","8","17","11","18","22","0","10","11","22","19","33","32","0","4","11","15","25","37","34","0","7","10","14","21","37","55","0","5","10","23","20","15","12","0","5","14","14","11","13","11","0","1","1","1","0","5","5","0","1","2","0","1","2","1","52","34","10","15","4","14","6","6","67","44","40","9","12","9","19","11","18","108","43","35","9","10","9","15","6","6","20","5","2","2","5","2","0","0","1","3"
"g18","V","10337","1632","553","626","32","1","3","15","2","2","0","398","821","812","124","53","68","5","11","18","6","1","11","5","19","0","23","14","15","2","14","11","16","3","12","2","6","0","14","14","23","3","9","13","10","0","0","26","33","36","37","56","62","0","24","35","48","49","57","90","0","17","26","39","65","94","78","0","13","30","24","71","89","80","0","30","32","32","56","33","35","0","21","20","35","40","41","23","0","4","3","3","7","8","8","0","2","4","3","6","6","1","119","97","26","32","17","39","16","27","180","94","98","18","29","30","41","23","48","245","113","89","21","22","17","37","9","21","69","21","7","6","5","0","1","0","1","14"
"g18","V","10338","682","197","316","13","0","1","3","0","0","1","151","340","342","22","31","14","2","15","11","4","1","8","4","5","0","10","17","12","0","6","15","16","0","2","0","1","0","11","12","8","1","7","2","4","0","0","6","6","9","11","18","33","1","8","6","15","19","18","47","0","13","6","17","26","37","71","0","11","4","16","23","33","59","0","9","7","9","19","18","14","0","8","10","12","12","14","19","0","1","0","4","2","1","3","0","2","0","2","1","1","1","40","33","3","13","5","15","5","4","79","49","36","14","20","15","15","6","26","135","50","25","7","12","4","12","4","10","27","7","2","1","2","1","0","0","1","4"
"g18","V","10339","928","324","343","20","2","2","6","0","0","3","228","463","465","59","22","24","4","11","7","5","3","18","4","15","0","9","11","9","0","21","10","22","0","10","5","12","0","0","0","1","0","5","4","2","0","0","7","18","21","25","25","49","0","14","19","28","27","36","55","0","8","7","23","25","38","74","0","3","7","20","22","39","77","0","7","19","25","23","25","26","0","7","18","19","23","19","17","0","2","3","0","4","4","5","0","1","1","3","1","2","7","85","36","4","20","13","28","5","21","112","50","53","13","16","14","14","11","23","149","71","51","10","21","6","20","4","10","35","9","7","3","0","2","1","1","1","9"
"g18","V","10340","1330","523","459","39","6","2","12","0","5","1","283","651","679","128","58","63","10","18","10","6","0","22","14","15","0","15","9","7","0","9","18","15","1","13","1","9","1","7","12","13","2","28","15","17","3","0","19","42","37","35","46","52","0","21","42","45","56","62","66","0","13","24","24","42","62","72","0","8","13","29","35","55","82","0","15","22","38","19","34","27","0","10","33","22","27","15","21","0","3","4","6","6","5","4","0","2","3","8","7","5","12","137","104","15","23","15","64","13","29","123","102","73","19","32","26","20","19","36","132","113","61","22","19","5","14","10","14","25","27","7","1","7","3","5","1","3","11"
